Placeholder,Country,Region,Wealth
,United States,North America,"$105,990 "
,China,Asia-Pacific,"$63,827 "
,Japan,Asia-Pacific,"$24,992 "
,Germany,Europe,"$14,660 "
,United Kingdom,Europe,"$14,341 "
,France,Europe,"$13,729 "
,India,Asia-Pacific,"$12,614 "
,Italy,Europe,"$11,358 "
,Canada,North America,"$8,573 "
,Spain,Europe,"$7,772 "
,South Korea,Asia-Pacific,"$7,302 "
,Australia,Asia-Pacific,"$7,202 "
,Taiwan,Asia-Pacific,"$4,062 "
,Switzerland,Europe,"$3,877 "
,Netherlands,Europe,"$3,719 "
,Brazil,Latin America,"$3,535 "
,Hong Kong,Asia-Pacific,"$3,066 "
,Russia,Europe,"$3,052 "
,Mexico,Latin America,"$2,701 "
,Belgium,Europe,"$2,194 "
,Sweden,Europe,"$2,049 "
,Austria,Europe,"$1,950 "
,Indonesia,Asia-Pacific,"$1,823 "
,Poland,Europe,"$1,771 "
,Saudi Arabia,Asia-Pacific,"$1,556 "
,Singapore,Asia-Pacific,"$1,381 "
,Turkey,Asia-Pacific,"$1,355 "
,Denmark,Europe,"$1,271 "
,Thailand,Asia-Pacific,"$1,160 "
,Portugal,Europe,"$1,098 "
,Norway,Europe,"$1,096 "
,Israel,Asia-Pacific,"$1,081 "
,New Zealand,Asia-Pacific,"$1,072 "
,Ireland,Europe,$951 
,UAE,Asia-Pacific,$922 
,Egypt,Africa,$898 
,Greece,Europe,$867 
,Vietnam,Asia-Pacific,$797 
,Finland,Europe,$795 
,Iran,Asia-Pacific,$775 
,South Africa,Africa,$770 
,Philippines,Asia-Pacific,$764 
,Chile,Latin America,$759 
,Bangladesh,Asia-Pacific,$697 
,Malaysia,Asia-Pacific,$682 
,Romania,Europe,$668 
,Colombia,Latin America,$562 
,Czechia,Europe,$550 
,Pakistan,Asia-Pacific,$465 
,Nigeria,Africa,$443 
,Kuwait,Asia-Pacific,$405 
,Peru,Latin America,$377 
,Hungary,Europe,$346 
,Qatar,Asia-Pacific,$328 